,adj_close,adj_high,adj_low,adj_open,adj_volume,close,frequency,high,intraperiod,low,open,volume,secid
2019-11-01,224.61,227.62,221.72,226.3,181724.0,224.61,daily,227.62,False,221.72,226.3,181724.0,CACI
2019-11-01,39.11,39.47,38.92,39.47,391487.0,39.11,daily,39.47,False,38.92,39.47,391487.0,PRFT
2019-11-01,29.02222127682408,29.051977484558346,28.1246748641994,28.258478611644495,1864565.0,29.26,daily,29.29,False,28.3551,28.49,1864565.0,KBR
2019-11-01,74.3138291701375,79.23698387407607,73.04333763363721,78.6811438268572,281365.0,74.87,daily,79.83,False,73.59,79.27,281365.0,MANT
2019-11-01,27.086795457722445,27.106704899440725,26.41982916016,26.469602764455704,866433.0,27.21,daily,27.23,False,26.54,26.59,866433.0,PRSP
2019-11-01,82.56114395992127,83.77032277902217,81.73850591086084,82.72963609045172,284537.0,83.3,daily,84.52,False,82.47,83.47,284537.0,SAIC
2019-11-01,156.09,156.33,153.52,153.75,613198.0,156.09,daily,156.33,False,153.52,153.75,613198.0,IT
2019-11-01,84.69639992259562,86.42347991632954,84.58721670460093,85.59964290782428,936112.0,85.33,daily,87.07,False,85.22,86.24,936112.0,LDOS
2019-11-01,60.5836072496425,61.01896225845914,60.22740769697434,60.74191816193946,3502387.0,61.23,daily,61.67,False,60.87,61.39,3502387.0,CTSH
2019-11-01,130.8093701430228,130.83832521646994,129.41952661756017,129.81524595467104,3089789.0,135.53,daily,135.56,False,134.09,134.5,3089789.0,IBM
2019-11-01,186.61524587155262,186.7391801279225,184.52026120187568,185.1082053140945,1502137.0,188.22,daily,188.345,False,186.107,186.7,1502137.0,ACN
2019-11-01,38.62,38.63,37.21,37.52,190732.0,38.62,daily,38.63,False,37.21,37.52,190732.0,VRTU
2019-11-04,81.46098946057539,83.09635425690036,81.26276342465721,83.08644295510445,200669.0,82.19,daily,83.84,False,81.99,83.83,200669.0,SAIC
2019-11-04,132.87483204891868,132.942393886962,131.48498852345602,131.49464021460508,3335389.0,137.67,daily,137.74,False,136.23,136.24,3335389.0,IBM
2019-11-04,28.466772065784383,29.260270938698234,28.33782849893588,29.11148990002689,1786892.0,28.7,daily,29.5,False,28.57,29.35,1786892.0,KBR
2019-11-04,157.92,158.3,156.235,156.93,585997.0,157.92,daily,158.3,False,156.235,156.93,585997.0,IT
2019-11-04,85.14305854166474,85.36142497765408,84.33907302734032,84.8552118760424,1235436.0,85.78,daily,86.0,False,84.97,85.49,1235436.0,LDOS
2019-11-04,39.09,39.49,38.54,39.1,217591.0,39.09,daily,39.49,False,38.54,39.1,217591.0,VRTU
2019-11-04,37.56,39.42,37.49,39.2,541955.0,37.56,daily,39.42,False,37.49,39.2,541955.0,PRFT
2019-11-04,223.62,226.34,222.62,226.34,146448.0,223.62,daily,226.34,False,222.62,226.34,146448.0,CACI
2019-11-04,186.19882677014974,187.5571462199639,185.7923224092564,186.90277334633078,1156782.0,187.8,daily,189.17,False,187.39,188.51,1156782.0,ACN
2019-11-04,26.937474644835326,27.37548236263753,26.788153831948215,27.26598043318698,770501.0,27.06,daily,27.5,False,26.91,27.39,770501.0,PRSP
2019-11-04,61.414739539201534,61.49389499535001,60.70234043386522,60.82107361808794,3750381.0,62.07,daily,62.15,False,61.35,61.47,3750381.0,CTSH
2019-11-04,75.25677210738378,76.49748649849734,73.47014338418028,75.08803495019235,199424.0,75.82,daily,77.07,False,74.02,75.65,199424.0,MANT
2019-11-05,75.20714353173925,76.04090360256755,73.86717198933661,74.75056063580946,138482.0,75.77,daily,76.61,False,74.42,75.31,138482.0,MANT
2019-11-05,39.52,39.64,38.75,39.14,323397.0,39.52,daily,39.64,False,38.75,39.14,323397.0,VRTU
2019-11-05,157.73,158.27,156.69,157.68,471834.0,157.73,daily,158.27,False,156.69,157.68,471834.0,IT
2019-11-05,28.87344023815273,29.066855588425483,28.466772065784383,28.655228048101424,1692863.0,29.11,daily,29.305,False,28.7,28.89,1692863.0,KBR
2019-11-05,80.08331851094404,81.5799250821263,79.06225619992951,81.5799250821263,239159.0,80.8,daily,82.31,False,79.7698,82.31,239159.0,SAIC
2019-11-05,222.36,223.33,219.14,223.33,138390.0,222.36,daily,223.33,False,219.14,223.33,138390.0,CACI
2019-11-05,185.2866706432672,186.39712158034158,183.8986069719242,186.39712158034158,1535399.0,186.88,daily,188.0,False,185.48,188.0,1535399.0,ACN
2019-11-05,133.08716925419768,133.9268663841647,132.8362252843225,133.00030403385628,3014961.0,137.89,daily,138.76,False,137.63,137.8,3014961.0,IBM
2019-11-05,82.56236429815426,85.58971716073385,82.14548292035643,85.2125387712977,1398980.0,83.18,daily,86.23,False,82.76,85.85,1398980.0,LDOS
2019-11-05,61.266323058923135,61.543367155442816,60.71223486588378,61.513683859387136,2340492.0,61.92,daily,62.2,False,61.36,62.17,2340492.0,CTSH
2019-11-05,26.798108552807356,27.27593515404612,26.768244390229935,27.206252108032132,424314.0,26.92,daily,27.4,False,26.89,27.33,424314.0,PRSP
2019-11-05,38.39,38.53,37.57,37.61,348253.0,38.39,daily,38.53,False,37.57,37.61,348253.0,PRFT
2019-11-06,81.29249733004492,81.80292937253424,79.96705894087803,80.11305241633177,190770.0,82.02,daily,82.535,False,80.6827,80.83,190770.0,SAIC
2019-11-06,224.7,225.54,220.13,222.41,220609.0,224.7,daily,225.54,False,220.13,222.41,220609.0,CACI
2019-11-06,39.47,39.69,39.08,39.66,149026.0,39.47,daily,39.69,False,39.08,39.66,149026.0,VRTU
2019-11-06,26.897655761398763,27.116659620299863,26.62887829820196,26.758289669370793,733976.0,27.02,daily,27.24,False,26.75,26.88,733976.0,PRSP
2019-11-06,158.42,159.37,156.075,157.33,535715.0,158.42,daily,159.37,False,156.075,157.33,535715.0,IT
2019-11-06,61.60273374755417,61.77093909186969,61.236639762867455,61.34547851507161,2248216.0,62.26,daily,62.43,False,61.89,62.0,2248216.0,CTSH
2019-11-06,38.12,38.29,37.2612,38.29,316305.0,38.12,daily,38.29,False,37.2612,38.29,316305.0,PRFT
2019-11-06,187.61663466302144,187.65381493993246,185.31641486479597,185.39573278887272,1652201.0,189.23,daily,189.2675,False,186.91,186.99,1652201.0,ACN
2019-11-06,133.94616976646282,133.94616976646282,132.75901175513013,133.19333785683722,4477291.0,138.78,daily,138.78,False,137.55,138.0,4477291.0,IBM
2019-11-06,29.071814956381193,29.12140863593831,28.5630829914843,28.87344023815273,1434152.0,29.31,daily,29.36,False,28.7971,29.11,1434152.0,KBR
2019-11-06,84.49788498078712,84.66662268132434,82.06607694363302,82.49288406852129,1302574.0,85.13,daily,85.3,False,82.68,83.11,1302574.0,LDOS
2019-11-06,74.30390345500858,74.7902634963251,71.2666346255626,71.99121182997291,136748.0,74.86,daily,75.35,False,71.8,72.53,136748.0,MANT
2019-11-07,81.7979737216363,82.58096656351309,81.4808120641672,82.15478058628901,208478.0,82.53,daily,83.32,False,82.21,82.89,208478.0,SAIC
2019-11-07,28.952790125444118,29.607426695598043,28.83376529450704,29.40905197736958,1239799.0,29.19,daily,29.85,False,29.07,29.65,1239799.0,KBR
2019-11-07,39.78,40.35,39.35,39.8,311655.0,39.78,daily,40.35,False,39.35,39.8,311655.0,VRTU
2019-11-07,85.36142497765408,85.66912313745726,84.64677118714349,85.03387532367006,940519.0,86.0,daily,86.31,False,85.28,85.67,940519.0,LDOS
2019-11-07,38.38,39.65,36.09,39.49,627733.0,38.38,daily,39.65,False,36.09,39.49,627733.0,PRFT
2019-11-07,225.89,227.525,224.57,224.57,116446.0,225.89,daily,227.525,False,224.57,224.57,116446.0,CACI
2019-11-07,62.36460501298329,62.89395712597624,61.90946114012953,62.077666484445054,2663642.0,63.03,daily,63.565,False,62.57,62.74,2663642.0,CTSH
2019-11-07,134.46375120402647,135.8748930479499,134.35632864151327,134.63953357904808,4073908.0,137.69,daily,139.135,False,137.58,137.87,4073908.0,IBM
2019-11-07,187.47782829588718,188.57836449245193,187.05645182422947,187.69595258709822,1676799.0,189.09,daily,190.2,False,188.665,189.31,1676799.0,ACN
2019-11-07,160.0,160.46,158.82,158.82,397962.0,160.0,daily,160.46,False,158.82,158.82,397962.0,IT
2019-11-07,27.037021853426737,27.355572920919247,26.927519923976188,27.17638794545471,350865.0,27.16,daily,27.48,False,27.05,27.3,350865.0,PRSP
2019-11-07,74.75056063580946,75.28654925277051,73.93665199523896,74.82004064171181,140636.0,75.31,daily,75.85,False,74.49,75.38,140636.0,MANT
2019-11-08,27.355572920919247,27.50489373380636,27.027067132567595,27.037021853426737,586327.0,27.48,daily,27.63,False,27.15,27.16,586327.0,PRSP
2019-11-08,74.88952064761418,74.92922350812981,73.92672628011006,74.41308632142658,117726.0,75.45,daily,75.49,False,74.48,74.97,117726.0,MANT
2019-11-08,42.71,44.01,41.34,42.51,488197.0,42.71,daily,44.01,False,41.34,42.51,488197.0,VRTU
2019-11-08,188.0826274669723,188.09254220748193,186.6648195741006,187.05149445397467,1282364.0,189.7,daily,189.71,False,188.27,188.66,1282364.0,ACN
2019-11-08,38.94,39.48,38.3,38.38,551966.0,38.94,daily,39.48,False,38.3,38.38,551966.0,PRFT
2019-11-08,225.93,226.29,223.59,225.46,95913.0,225.93,daily,226.29,False,223.59,225.46,95913.0,CACI
2019-11-08,28.962708861355537,29.0321400127355,28.675065519924267,28.952790125444118,1111236.0,29.2,daily,29.27,False,28.91,29.19,1111236.0,KBR
2019-11-08,134.3856257040169,134.3856257040169,132.96960101634284,134.35632864151327,2278602.0,137.61,daily,137.61,False,136.16,137.58,2278602.0,IBM
2019-11-08,86.55251462850508,86.55251462850508,85.07357831203176,85.13313279457431,962053.0,87.2,daily,87.2,False,85.71,85.77,962053.0,LDOS
2019-11-08,81.55019117673856,82.31336141502355,80.66808531690268,81.74841721265675,176094.0,82.28,daily,83.05,False,81.39,82.48,176094.0,SAIC
2019-11-08,160.36,160.79,159.55,159.69,340134.0,160.36,daily,160.79,False,159.55,159.69,340134.0,IT
2019-11-08,62.196399668667766,62.315132852890486,61.721466931776895,62.226082964723446,1858091.0,62.86,daily,62.98,False,62.38,62.89,1858091.0,CTSH
2019-11-11,132.29576857876,133.98523251646765,131.8367812662036,133.98523251646765,2568755.0,135.47,daily,137.2,False,135.0,137.2,2568755.0,IBM
2019-11-11,87.01902474175505,87.34657439573907,85.75845486127109,85.75845486127109,1131548.0,87.67,daily,88.0,False,86.4,86.4,1131548.0,LDOS
2019-11-11,61.97872216425945,62.235581619461264,61.82041125196249,62.01829989233369,1534321.0,62.64,daily,62.8996,False,62.48,62.68,1534321.0,CTSH
2019-11-11,42.79,43.32,42.23,42.58,201553.0,42.79,daily,43.32,False,42.23,42.58,201553.0,VRTU
2019-11-11,160.53,160.6,158.93,159.09,682402.0,160.53,daily,160.6,False,158.93,159.09,682402.0,IT
2019-11-11,75.41558354944632,76.0905321782121,74.14509201294605,74.800189211454,110565.0,75.98,daily,76.66,False,74.7,75.36,110565.0,MANT
2019-11-11,188.43955812531766,188.83614774570137,186.94243230836918,187.1506418590706,1167010.0,190.06,daily,190.46,False,188.55,188.76,1167010.0,ACN
2019-11-11,27.4650748503698,27.674123988411758,27.106704899440725,27.116659620299863,500143.0,27.59,daily,27.8,False,27.23,27.24,500143.0,PRSP
2019-11-11,81.30240863184085,81.72859460906493,80.93569046539221,80.93569046539221,202191.0,82.03,daily,82.46,False,81.66,81.66,202191.0,SAIC
2019-11-11,39.68,39.71,38.29,38.64,421852.0,39.68,daily,39.71,False,38.29,38.64,421852.0,PRFT
2019-11-11,227.78,228.0,225.07,225.07,111660.0,227.78,daily,228.0,False,225.07,225.07,111660.0,CACI
2019-11-11,29.389214505546732,29.42214470877266,28.575878160810035,28.645309312189998,852009.0,29.63,daily,29.6632,False,28.81,28.88,852009.0,KBR
2019-11-12,132.4129568287744,133.45788539140284,131.85631264120602,132.68639607880803,3046536.0,135.59,daily,136.66,False,135.02,135.87,3046536.0,IBM
2019-11-12,43.08,43.18,41.99,42.71,206529.0,43.08,daily,43.18,False,41.99,42.71,206529.0,VRTU
2019-11-12,27.853308963876295,27.913037289031138,27.49493901294722,27.514848454665504,616360.0,27.98,daily,28.04,False,27.62,27.64,616360.0,PRSP
2019-11-12,62.17661080463065,62.29534398885337,61.84020011599961,62.137033076556406,2726071.0,62.84,daily,62.96,False,62.5,62.8,2726071.0,CTSH
2019-11-12,189.79787757513185,190.0160018663429,188.2511780556354,188.54862027092315,1522849.0,191.43,daily,191.65,False,189.87,190.17,1522849.0,ACN
2019-11-12,88.34907485187198,88.41855508150495,86.84036129412739,86.84036129412739,954562.0,89.01,daily,89.08,False,87.49,87.49,954562.0,LDOS
2019-11-12,29.94466371658643,29.954582452497853,29.418970713281002,29.418970713281002,1023150.0,30.19,daily,30.2,False,29.66,29.66,1023150.0,KBR
2019-11-12,75.83246358486049,75.95157216640737,74.55204633323129,74.96892636864546,108947.0,76.4,daily,76.52,False,75.11,75.53,108947.0,MANT
2019-11-12,40.13,40.6702,39.6,39.6,337217.0,40.13,daily,40.6702,False,39.6,39.6,337217.0,PRFT
2019-11-12,81.26276342465721,82.10522407730947,80.76719833486176,81.3618764426163,201090.0,81.99,daily,82.84,False,81.49,82.09,201090.0,SAIC
2019-11-12,229.67,229.98,228.34,228.98,128348.0,229.67,daily,229.98,False,228.34,228.98,128348.0,CACI
