company,ticker,price_close,pct_price_change_lastday,pct_pricechange_30day,pct_price_change_ytd,pct_price_change_12_month,price_earnings_ratio,price_bookvalue_ratio,marketcap_mm,revenue_mm,exchange,industry
3M Company,MMM,148.51,1.9,-0.32,-15.82,-16.84,17.1,8.42,85422.41,32348.0,NYSE,Industrial Conglomerates
A. O. Smith Corporation,AOS,44.79,3.42,11.36,-5.98,-10.95,21.51,4.47,7217.48,2881.4,NYSE,Building Products
"AAON, Inc.",AAON,48.94,0.74,-0.22,-0.95,3.36,47.63,8.31,2546.42,492.99,NasdaqGS,Building Products
AAR Corp.,AIR,18.2,9.05,-1.57,-59.65,-45.93,8.79,0.68,629.15,2218.2,NYSE,Aerospace and Defense
"Aaron's, Inc.",AAN,35.78,7.29,51.16,-37.35,-37.85,72.5,1.66,2417.71,4036.83,NYSE,Homefurnishing Retail
Abbott Laboratories,ABT,93.7,-0.31,10.3,7.87,22.93,47.48,5.48,165740.81,32095.0,NYSE,Health Care Equipment
Abercrombie & Fitch Co.,ANF,10.59,4.23,-0.19,-38.75,-63.75,16.93,0.63,652.32,3623.07,NYSE,Apparel Retail
"Abiomed, Inc.",ABMD,187.07,-0.67,19.71,9.66,-28.12,42.51,7.9,8419.78,840.88,NasdaqGS,Health Care Equipment
ABM Industries Incorporated,ABM,33.5,6.08,20.29,-11.16,-11.68,14.91,1.43,2232.13,6503.6,NYSE,Environmental and Facilities Services
"Acadia Healthcare Company, Inc.",ACHC,26.55,7.49,21.18,-20.08,-18.46,19.29,0.95,2361.42,3129.66,NasdaqGS,Health Care Facilities
Acadia Realty Trust,AKR,12.09,3.78,-6.42,-53.37,-57.13,31.95,0.72,1040.83,303.49,NYSE,Retail REITs
Accenture plc,ACN,188.56,0.77,9.8,-10.45,8.48,24.41,7.76,120117.89,44655.8,NYSE,IT Consulting and Other Services
"ACI Worldwide, Inc.",ACIW,27.0,0.48,4.21,-28.73,-20.87,46.32,2.93,3130.51,1343.92,NasdaqGS,Application Software
"Activision Blizzard, Inc.",ATVI,73.14,0.05,19.76,23.09,56.22,36.18,4.33,56353.31,6452.0,NasdaqGS,Interactive Home Entertainment
"Acuity Brands, Inc.",AYI,85.98,1.61,-4.12,-37.7,-40.56,11.26,1.65,3373.98,3544.6,NYSE,Electrical Components and Equipment
Addus HomeCare Corporation,ADUS,82.61,-0.47,3.25,-15.03,21.83,55.48,2.71,1273.21,598.15,NasdaqGS,Health Care Services
Adobe Inc.,ADBE,367.51,0.2,15.87,11.43,32.79,55.58,16.96,177066.63,11661.3,NasdaqGS,Application Software
Adtalem Global Education Inc.,ATGE,34.65,1.2,32.15,-0.92,-21.89,8.01,1.39,1794.95,1282.36,NYSE,Education Services
"Advance Auto Parts, Inc.",AAP,124.85,4.38,21.78,-22.05,-21.29,17.49,2.42,8625.82,9709.0,NYSE,Automotive Retail
"Advanced Energy Industries, Inc.",AEIS,62.93,4.88,25.03,-11.62,21.42,38.7,3.51,2408.06,963.66,NasdaqGS,Semiconductor Equipment
"Advanced Micro Devices, Inc.",AMD,53.19,2.39,9.02,15.98,96.35,121.92,20.51,62295.62,7245.0,NasdaqGS,Semiconductors
AdvanSix Inc.,ASIX,11.69,6.18,-0.34,-41.43,-61.63,10.53,0.8,327.37,1285.21,NYSE,Commodity Chemicals
"Aerojet Rocketdyne Holdings, Inc.",AJRD,41.47,3.36,-4.67,-9.18,9.62,25.22,5.22,3206.78,1965.9,NYSE,Aerospace and Defense
"AeroVironment, Inc.",AVAV,61.27,2.01,11.28,-0.76,-6.81,48.82,2.97,1456.32,320.0,NasdaqGS,Aerospace and Defense
"Affiliated Managers Group, Inc.",AMG,66.28,3.1,1.75,-21.78,-29.47,15.88,1.05,3130.96,2203.8,NYSE,Asset Management and Custody Banks
Aflac Incorporated,AFL,36.26,1.09,-4.0,-31.46,-27.83,9.01,0.99,26016.84,21812.0,NYSE,Life and Health Insurance
AGCO Corporation,AGCO,51.13,3.4,0.16,-33.81,-29.96,30.32,1.46,3827.99,8973.9,NYSE,Agricultural and Farm Machinery
"Agilent Technologies, Inc.",A,79.71,1.54,3.94,-6.56,4.05,32.47,5.1,24682.31,5236.0,NYSE,Life Sciences Tools and Services
Agree Realty Corporation,ADC,64.82,2.0,1.41,-7.62,-1.16,33.09,1.73,3221.43,200.94,NYSE,Retail REITs
"Air Products and Chemicals, Inc.",APD,233.48,2.95,8.21,-0.64,13.72,25.72,4.53,51565.14,8978.2,NYSE,Industrial Gases
"Akamai Technologies, Inc.",AKAM,101.15,0.55,3.88,17.1,31.41,33.53,4.46,16434.79,2951.41,NasdaqGS,Internet Services and Infrastructure
Alamo Group Inc.,ALG,98.65,2.29,5.47,-21.43,-5.6,18.06,2.06,1170.01,1171.65,NYSE,Construction Machinery and Heavy Trucks
"Alarm.com Holdings, Inc.",ALRM,50.05,5.08,19.37,16.48,-28.06,44.93,6.85,2437.64,502.36,NasdaqGS,Application Software
"Alaska Air Group, Inc.",ALK,30.0,6.19,2.95,-55.72,-50.57,6.57,0.92,3677.54,8541.0,NYSE,Airlines
Albany International Corp.,AIN,54.49,5.72,15.08,-28.23,-28.37,14.82,2.64,1761.17,1038.52,NYSE,Industrial Machinery
Albemarle Corporation,ALB,64.25,7.55,3.93,-12.03,-11.48,12.53,1.76,6830.97,3496.21,NYSE,Specialty Chemicals
"Alexandria Real Estate Equities, Inc.",ARE,152.0,0.34,3.09,-5.93,8.74,71.28,2.03,19181.62,1618.25,NYSE,Office REITs
"Alexion Pharmaceuticals, Inc.",ALXN,97.34,0.43,-1.24,-10.0,-27.17,9.15,1.83,21495.34,5295.5,NasdaqGS,Biotechnology
"Align Technology, Inc.",ALGN,210.03,-1.63,13.89,-24.73,-34.95,9.0,5.8,16542.58,2408.79,NasdaqGS,Health Care Supplies
