,open,high,low,close,volume,name
2019-11-01,226.3,227.62,221.72,224.61,181724.0,CACI
2019-11-04,226.34,226.34,222.62,223.62,146448.0,CACI
2019-11-05,223.33,223.33,219.14,222.36,138390.0,CACI
2019-11-06,222.41,225.54,220.13,224.7,220609.0,CACI
2019-11-07,224.57,227.525,224.57,225.89,116446.0,CACI
2019-11-08,225.46,226.29,223.59,225.93,95913.0,CACI
2019-11-11,225.07,228.0,225.07,227.78,111660.0,CACI
2019-11-12,228.98,229.98,228.34,229.67,128348.0,CACI
2019-11-13,229.0,230.69,226.87,228.94,115364.0,CACI
2019-11-14,228.97,231.19,225.18,230.23,115969.0,CACI
2019-11-15,231.19,233.52,230.72,232.11,122840.0,CACI
2019-11-18,231.68,234.8609,231.68,234.19,82768.0,CACI
2019-11-19,234.59,235.99,233.57,234.23,122357.0,CACI
2019-11-20,234.0,236.035,232.54,235.01,139475.0,CACI
2019-11-21,235.0,236.79,233.915,235.2,180647.0,CACI
2019-11-22,235.71,235.71,231.17,231.3,143556.0,CACI
2019-11-25,237.15,240.31,233.41,239.27,171868.0,CACI
2019-11-26,239.33,241.23,238.375,240.18,129459.0,CACI
2019-11-27,240.26,241.75,238.835,241.01,61925.0,CACI
2019-11-29,240.53,241.87,238.75,239.32,49712.0,CACI
2019-12-02,239.21,242.8938,236.19,237.2,120962.0,CACI
2019-12-03,234.56,236.99,233.3101,235.78,128830.0,CACI
2019-12-04,236.96,240.06,235.71,236.16,124956.0,CACI
2019-12-05,237.18,237.85,234.72,236.36,162892.0,CACI
2019-12-06,238.0,238.67,236.01,237.06,146127.0,CACI
2019-12-09,236.98,238.06,235.7377,236.6,124523.0,CACI
2019-12-10,237.02,237.42,235.27,236.38,103150.0,CACI
2019-12-11,236.88,238.89,235.85,238.57,152747.0,CACI
2019-12-12,238.86,240.88,236.39,239.54,122990.0,CACI
2019-12-13,239.03,240.99,238.48,240.22,95015.0,CACI
2019-12-16,242.0,242.91,240.59,242.36,140156.0,CACI
2019-12-17,242.59,243.42,240.795,242.27,158151.0,CACI
2019-12-18,242.64,244.7,241.6816,243.87,173997.0,CACI
2019-12-19,244.06,247.84,243.55,247.48,178002.0,CACI
2019-12-20,248.83,250.87,248.62,250.43,608892.0,CACI
2019-12-23,252.03,252.03,248.0,250.6,111012.0,CACI
2019-12-24,251.54,251.54,249.185,250.43,34672.0,CACI
2019-12-26,251.22,252.69,250.645,251.63,50496.0,CACI
2019-12-27,252.01,252.47,250.36,250.78,133966.0,CACI
2019-12-30,251.27,251.32,249.35,250.97,72900.0,CACI
2019-12-31,250.37,252.14,249.45,249.99,116140.0,CACI
2020-01-02,252.0,253.05,250.36,252.23,127413.0,CACI
2020-01-03,249.63,256.39,249.3714,255.91,135027.0,CACI
2020-01-06,255.0,258.32,254.55,258.24,258997.0,CACI
2020-01-07,256.93,258.53,256.18,257.12,172707.0,CACI
2020-01-08,257.92,260.67,257.56,259.56,97059.0,CACI
2020-01-09,262.94,264.15,258.61,262.57,256930.0,CACI
2020-01-10,263.55,264.99,262.68,263.07,121584.0,CACI
2020-01-13,263.64,266.5166,263.64,265.49,129275.0,CACI
2020-01-14,265.49,265.81,263.4584,264.11,164565.0,CACI
2020-01-15,265.4,268.78,265.4,267.67,144240.0,CACI
2020-01-16,269.17,270.06,267.61,269.49,158805.0,CACI
2020-01-17,269.95,271.32,268.44,270.61,131176.0,CACI
2020-01-21,269.66,270.455,268.3856,269.96,179966.0,CACI
2020-01-22,270.74,272.82,269.3,269.57,212103.0,CACI
2020-01-23,270.99,272.25,268.795,271.97,239777.0,CACI
2020-01-24,272.78,274.0485,268.6,269.48,175482.0,CACI
2020-01-27,266.31,269.74,265.02,267.69,142500.0,CACI
2020-01-28,269.84,273.25,268.42,269.36,201806.0,CACI
2020-01-29,270.14,271.29,266.33,267.18,243587.0,CACI
2020-01-30,280.54,280.665,267.46,280.07,415651.0,CACI
2020-01-31,279.03,279.81,266.99,267.44,256007.0,CACI
2020-02-03,268.69,275.01,268.69,272.52,218309.0,CACI
2020-02-04,277.38,278.46,275.42,276.19,131936.0,CACI
2020-02-05,277.64,278.44,272.57,274.16,128058.0,CACI
2020-02-06,274.41,276.5,273.85,274.33,111111.0,CACI
2020-02-07,273.5,273.64,270.27,272.0,128073.0,CACI
2020-02-10,271.71,272.8,271.16,272.12,113661.0,CACI
2020-02-11,273.84,273.87,271.9325,272.33,124328.0,CACI
2020-02-12,272.21,273.49,269.6,272.57,109654.0,CACI
2020-02-13,271.95,279.2,271.75,278.03,142533.0,CACI
2020-02-14,279.5,279.86,275.555,275.88,135086.0,CACI
2020-02-18,274.87,283.49,274.87,283.0,232513.0,CACI
2020-02-19,284.94,288.59,284.215,287.07,232712.0,CACI
2020-02-20,286.03,286.27,275.81,277.72,182700.0,CACI
2020-02-21,275.72,275.9841,271.91,273.08,129433.0,CACI
2020-02-24,265.37,270.57,262.578,266.34,173149.0,CACI
2020-02-25,266.99,267.1395,252.85,253.59,208644.0,CACI
2020-02-26,254.98,261.23,254.97,258.3,239551.0,CACI
2020-02-27,251.56,254.52,248.97,248.97,286667.0,CACI
2020-02-28,242.38,246.1077,235.4,245.02,293369.0,CACI
2020-03-02,245.1,251.21,239.025,251.13,189877.0,CACI
2020-03-03,252.14,256.63,246.3816,249.54,193238.0,CACI
2020-03-04,254.31,260.44,250.25,260.16,195790.0,CACI
2020-03-05,253.75,256.0873,246.168,249.31,173915.0,CACI
2020-03-06,241.31,244.025,235.165,241.53,171720.0,CACI
2020-03-09,221.33,230.4799,213.05,222.45,195600.0,CACI
2020-03-10,227.85,235.16,217.835,234.38,229353.0,CACI
2020-03-11,227.4,230.52,216.01,218.96,207138.0,CACI
2020-03-12,193.0,204.96,191.16,194.49,315244.0,CACI
2020-03-13,203.93,220.33,188.16,219.25,349240.0,CACI
2020-03-16,191.88,202.21,188.489,188.86,301710.0,CACI
2020-03-17,192.87,198.695,182.89,189.01,273319.0,CACI
2020-03-18,179.55,184.015,156.15,168.21,261963.0,CACI
2020-03-19,167.32,189.98,159.61,180.85,357172.0,CACI
2020-03-20,182.07,194.92,176.12,184.61,352286.0,CACI
2020-03-23,182.54,189.815,172.84,180.83,228659.0,CACI
2020-03-24,190.85,204.82,187.58,197.65,217374.0,CACI
2020-03-25,199.14,212.42,191.2,203.65,173231.0,CACI
2020-03-26,204.1,219.44,204.1,217.15,186625.0,CACI
2020-03-27,210.17,221.99,207.56799999999998,215.91,186165.0,CACI
2020-03-30,219.02,223.62,212.44,217.04,186041.0,CACI
2020-03-31,218.02,220.75,209.1,211.15,255974.0,CACI
2020-04-01,203.73,212.4228,200.3,204.27,152600.0,CACI
2020-04-02,201.84,213.0,200.65099999999998,206.39,213255.0,CACI
2020-04-03,203.87,207.0,199.56,200.97,187536.0,CACI
2020-04-06,210.5,221.94,207.395,220.39,167006.0,CACI
2020-04-07,226.0,228.45,217.37,219.9,216518.0,CACI
2020-04-08,224.28,229.34,220.1784,225.53,134031.0,CACI
2020-04-09,230.0,233.49,225.36,230.04,166908.0,CACI
2020-04-13,226.81,228.775,219.2128,221.69,116960.0,CACI
2020-04-14,226.29,239.52,224.53,238.34,196156.0,CACI
2020-04-15,234.81,235.97,229.17,232.14,213286.0,CACI
2020-04-16,232.26,236.83,228.8986,236.43,179363.0,CACI
2020-04-17,245.23,247.36,241.545,243.61,207172.0,CACI
2020-04-20,243.74,245.415,234.82,238.58,154683.0,CACI
2020-04-21,234.86,234.86,224.2,230.4,212704.0,CACI
2020-04-22,236.25,240.96,231.44,237.29,137755.0,CACI
2020-04-23,239.85,244.54,237.485,239.9,103915.0,CACI
2020-04-24,243.37,243.85,236.3,243.39,109161.0,CACI
2020-04-27,246.99,255.905,246.99,252.88,212357.0,CACI
2020-04-28,257.81,258.84,249.16,249.16,160689.0,CACI
