,open,high,low,close,volume,name
2019-11-01,37.52,38.63,37.21,38.62,190732.0,VRTU
2019-11-04,39.1,39.49,38.54,39.09,217591.0,VRTU
2019-11-05,39.14,39.64,38.75,39.52,323397.0,VRTU
2019-11-06,39.66,39.69,39.08,39.47,149026.0,VRTU
2019-11-07,39.8,40.35,39.35,39.78,311655.0,VRTU
2019-11-08,42.51,44.01,41.34,42.71,488197.0,VRTU
2019-11-11,42.58,43.32,42.23,42.79,201553.0,VRTU
2019-11-12,42.71,43.18,41.99,43.08,206529.0,VRTU
2019-11-13,42.77,43.24,42.46,43.06,168879.0,VRTU
2019-11-14,42.86,43.08,42.61,42.93,127069.0,VRTU
2019-11-15,43.23,43.72,42.9,43.01,167923.0,VRTU
2019-11-18,42.86,43.155,42.39,43.06,137114.0,VRTU
2019-11-19,43.15,44.3,42.82,44.08,213341.0,VRTU
2019-11-20,43.82,44.1843,43.53,43.9,224800.0,VRTU
2019-11-21,44.11,44.11,43.63,44.015,133856.0,VRTU
2019-11-22,44.16,44.23,43.57,44.17,109304.0,VRTU
2019-11-25,44.08,45.1,44.08,45.05,187274.0,VRTU
2019-11-26,45.11,45.46,44.88,45.27,191502.0,VRTU
2019-11-27,45.5,45.85,44.555,44.99,156700.0,VRTU
2019-11-29,44.81,44.85,44.3,44.69,52581.0,VRTU
2019-12-02,44.76,44.855,44.3,44.7,158681.0,VRTU
2019-12-03,44.23,44.67,44.02,44.415,115362.0,VRTU
2019-12-04,44.63,44.83,43.9369,44.09,160835.0,VRTU
2019-12-05,44.26,44.42,43.07,43.69,285635.0,VRTU
2019-12-06,43.91,44.75,43.88,44.67,138913.0,VRTU
2019-12-09,44.52,44.86,44.17,44.49,134190.0,VRTU
2019-12-10,44.29,44.73,44.06,44.51,95751.0,VRTU
2019-12-11,44.5,44.9443,43.94,44.83,91232.0,VRTU
2019-12-12,44.88,45.19,44.745,44.98,617896.0,VRTU
2019-12-13,44.83,45.63,43.81,43.99,126813.0,VRTU
2019-12-16,44.12,45.32,44.0005,44.415,236962.0,VRTU
2019-12-17,44.31,44.76,43.82,44.49,140558.0,VRTU
2019-12-18,44.59,44.67,43.44,44.45,322538.0,VRTU
2019-12-19,44.38,45.38,44.24,45.31,140021.0,VRTU
2019-12-20,45.37,45.54,45.045,45.44,480220.0,VRTU
2019-12-23,45.5,45.5,44.93,45.0,90679.0,VRTU
2019-12-24,44.92,45.5,44.92,45.42,37675.0,VRTU
2019-12-26,45.4,45.67,45.15,45.56,64561.0,VRTU
